> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
 -2897261.98   3050825.30
 -2895898.40   3048361.59
 -2894512.97   3046310.78
 -2893385.63   3044454.27
 -2893035.30   3043522.03
 -2892187.30   3043172.66
 -2890915.60   3041437.78
 -2889223.56   3038649.07
 -2888498.25   3036512.51
 -2887701.28   3034607.99
 -2887518.65   3033816.96
 -2888020.56   3031828.33
 -2887217.13   3029593.04
 -2885861.63   3027772.73
 -2885611.01   3027202.13
 -2883976.91   3023156.99
 -2882160.97   3020400.81
 -2881057.96   3018090.32
 -2879587.38   3015238.65
 -2878257.52   3013671.10
 -2876789.77   3011505.59
 -2875372.86   3009520.79
 -2873496.76   3007296.96
 -2872720.34   3006000.23
 -2872626.42   3003847.11
> 20 8    1 GULF OF CALIFORNIA PLATE BOUNDARY            
 -2872626.42   3003847.11
 -2866782.52   2992205.15
 -2864507.75   2988100.34
 -2876299.04   2981013.15
 -2880146.32   2979535.59
 -2871184.67   2965357.96
 -2865541.24   2953532.36
 -2875757.77   2945999.97
 -2864659.36   2921772.32
 -2851427.20   2893186.49
 -2866292.58   2885707.83
 -2848411.26   2857544.94
 -2824744.70   2820634.33
 -2807029.57   2789340.61
 -2794322.88   2762699.32
 -2786070.97   2742983.48
 -2780498.67   2728655.91
 -2806664.76   2715312.75
 -2820714.21   2706979.94
 -2812833.39   2681703.76
 -2802411.86   2650182.40
 -2793090.23   2626816.91
 -2780946.83   2599019.98
 -2810343.83   2582467.56
 -2801222.39   2563073.86
 -2790134.02   2541825.57
 -2804542.10   2532353.89
 -2817164.88   2525336.19
 -2803269.54   2496162.27
 -2784178.74   2462420.68
 -2765104.20   2433418.85
 -2772716.58   2427973.33
 -2753271.84   2394430.23
 -2730737.10   2362316.09
 -2712389.99   2336549.69
 -2689824.62   2307383.47
 -2663822.98   2274554.50
 -2637515.77   2243020.02
 -2619361.95   2224241.97
 -2608418.60   2212811.35
 -2634577.30   2183928.82
 -2616982.44   2166939.70
 -2634942.48   2149131.47
 -2610817.51   2119285.24
 -2586773.12   2091777.82
 -2568851.06   2073751.91
 -2561520.12   2065530.22
 -2575301.19   2051913.59
 -2557030.01   2028952.41
 -2531276.26   2003086.32
 -2507110.50   1976474.03
 -2493093.79   1961944.49
 -2487196.68   1954813.05
 -2513134.46   1933453.35
 -2493339.35   1910426.27
 -2475791.07   1887945.46
 -2453417.14   1864586.10
 -2437650.43   1847610.15
 -2426759.48   1836492.97
 -2454673.52   1809917.46
 -2430547.58   1776583.01
 -2412515.80   1753545.39
 -2394965.85   1730543.03
 -2379263.75   1711427.61
 -2371536.34   1702730.54
 -2409780.18   1664767.04
 -2384394.26   1641816.14
 -2366108.44   1628292.18
 -2355783.80   1620213.92
 -2410549.35   1526244.44
 -2403600.31   1520734.67
 -2457741.61   1435860.11
 -2448835.04   1433320.67
> 9318    4 SATL RIDGE CANDE (1988) PICKS                                         
 12123732.97  -3248858.72
 12086249.91  -3510005.01
 11294867.97  -3489525.66
 11271488.02  -3838915.41
