time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-13T06:52:37.700Z,31.5042,131.757,46.19,4.7,mb,,123,1.114,0.93,us,us20002x29,2015-10-09T20:19:15.040Z,"38km ESE of Nichinan, Japan",earthquake,7.2,7.4,0.055,100,reviewed,us,us
2015-07-12T17:52:06.170Z,33.0229,131.7493,53,5.5,mww,,57,0.739,0.95,us,us20002wz9,2015-10-09T20:19:14.040Z,"10km SSW of Usuki, Japan",earthquake,5.7,1.9,,,reviewed,us,us
2015-06-27T20:44:41.830Z,30.0953,130.3277,73.62,4.1,mb,,102,1.413,1.04,us,us20002wt7,2015-09-02T22:37:21.040Z,"95km SW of Nishinoomote, Japan",earthquake,8.5,7.9,0.185,8,reviewed,us,us
2015-06-11T09:19:23.300Z,29.794,131.4189,36.9,5.1,mb,,107,1.901,0.75,us,us20002nxu,2015-08-20T00:43:53.040Z,"111km SSE of Nishinoomote, Japan",earthquake,7.1,5.3,0.034,283,reviewed,us,us
2015-05-27T01:51:26.110Z,31.2919,130.4608,152.22,4.7,mb,,60,0.216,1.02,us,us10002cdg,2015-07-29T01:35:48.040Z,"14km ENE of Makurazaki, Japan",earthquake,7.4,5.6,0.055,100,reviewed,us,us
2015-05-25T16:35:22.040Z,31.7839,131.8137,25.25,4.4,mb,,74,1.192,0.85,us,us10002c1i,2015-07-29T01:35:44.040Z,"39km ESE of Miyazaki-shi, Japan",earthquake,5.9,4.8,0.078,48,reviewed,us,us
2015-05-24T00:09:38.400Z,31.2324,130.3868,160.74,4.5,mb,,94,0.281,0.77,us,us10002bva,2015-07-29T01:35:37.040Z,"7km ESE of Makurazaki, Japan",earthquake,6.8,4.3,0.068,63,reviewed,us,us
2015-05-13T14:10:07.570Z,30.8058,130.2259,155.47,4.5,mb,,89,0.727,0.83,us,us20002ezy,2015-07-17T07:06:15.040Z,"51km S of Makurazaki, Japan",earthquake,6.8,5.6,0.099,30,reviewed,us,us
2015-04-21T13:19:12.110Z,30.9911,130.1263,161.45,4.4,mb,,128,0.587,0.71,us,us200029vj,2015-06-26T23:16:00.040Z,"35km SSW of Makurazaki, Japan",earthquake,10.1,6.6,0.218,6,reviewed,us,us
2015-04-18T09:34:54.260Z,31.9061,132.0243,35,4.5,mb,,38,1.396,0.75,us,us200027it,2015-06-26T23:15:56.040Z,"55km ESE of Takanabe, Japan",earthquake,5.1,1.8,0.082,44,reviewed,us,us
2015-04-07T23:51:25.550Z,33.5968,132.5462,49.71,4.3,mb,,96,1.117,0.92,us,us200024wm,2015-06-16T01:00:32.040Z,"10km N of Ozu, Japan",earthquake,5.7,7.8,0.153,12,reviewed,us,us
2015-03-29T03:23:22.520Z,31.4176,130.5383,144.38,4.6,mb,,49,0.117,0.64,us,us10001rq6,2015-06-12T01:53:27.040Z,"15km S of Kagoshima-shi, Japan",earthquake,6.8,3.9,0.047,133,reviewed,us,us
2015-02-15T14:34:36.830Z,30.0604,131.1018,29.89,4.6,mb,,134,1.548,0.7,us,usb000tpiw,2015-05-11T23:20:16.040Z,"75km S of Nishinoomote, Japan",earthquake,4.8,5.7,0.109,30,reviewed,us,us
2015-02-06T01:25:11.750Z,33.757,134.3989,10.8,4.7,mwr,,77,0.436,0.54,us,usc000tmlt,2015-05-04T22:47:42.040Z,"29km SW of Anan, Japan",earthquake,5,4.1,0.068,21,reviewed,us,us
